Baby,Time,Amount (oz.),Note
Yalkun,"10/22/23, 6:15 PM",4
Yalkun,"10/22/23, 5:22 PM",0.8
Yalkun,"10/22/23, 4:15 PM",1.2
Yalkun,"10/22/23, 3:15 PM",3
Yalkun,"10/22/23, 12:20 PM",3
Yalkun,"10/22/23, 10:20 AM",1.9
Yalkun,"10/22/23, 8:50 AM",2.1
Yalkun,"10/22/23, 6:00 AM",5.7
Yalkun,"10/22/23, 2:45 AM",3
Yalkun,"10/21/23, 11:45 PM",1.7
Yalkun,"10/21/23, 8:05 PM",4
Yalkun,"10/21/23, 5:20 PM",3.8
Yalkun,"10/21/23, 4:15 PM",2
Yalkun,"10/21/23, 1:15 PM",3.5
Yalkun,"10/21/23, 12:00 PM",2
Yalkun,"10/21/23, 9:00 AM",4.2
Yalkun,"10/21/23, 4:30 AM",2.7
Yalkun,"10/21/23, 1:11 AM",1.6
Yalkun,"10/20/23, 11:11 PM",2.4
Yalkun,"10/20/23, 8:30 PM",1.1
Yalkun,"10/20/23, 7:30 PM",2
Yalkun,"10/20/23, 6:30 PM",4
Yalkun,"10/20/23, 4:00 PM",3
Yalkun,"10/20/23, 3:14 PM",1
Yalkun,"10/20/23, 1:00 PM",3
Yalkun,"10/20/23, 9:45 AM",2
Yalkun,"10/20/23, 8:35 AM",1
Yalkun,"10/20/23, 7:23 AM",0.5
Yalkun,"10/20/23, 6:07 AM",1.5
Yalkun,"10/20/23, 4:05 AM",2.9
Yalkun,"10/19/23, 11:50 PM",2.4
Yalkun,"10/19/23, 9:45 PM",3
Yalkun,"10/19/23, 6:45 PM",3
Yalkun,"10/19/23, 6:00 PM",3.2
Yalkun,"10/19/23, 2:00 PM",1
Yalkun,"10/19/23, 12:00 PM",2.5
Yalkun,"10/19/23, 9:30 AM",3
Yalkun,"10/19/23, 5:54 AM",1.8
Yalkun,"10/19/23, 3:12 AM",2.2
Yalkun,"10/19/23, 12:55 AM",1.8
Yalkun,"10/18/23, 9:59 PM",2.3
Yalkun,"10/18/23, 8:50 PM",1.8
Yalkun,"10/18/23, 6:40 PM",2.6
Yalkun,"10/18/23, 5:00 PM",3
Yalkun,"10/18/23, 2:30 PM",3
Yalkun,"10/18/23, 11:30 AM",1.5
Yalkun,"10/18/23, 9:00 AM",3
Yalkun,"10/18/23, 7:40 AM",1.7
Yalkun,"10/18/23, 6:00 AM",1.6
Yalkun,"10/18/23, 5:16 AM",1.3
Yalkun,"10/18/23, 4:00 AM",2
Yalkun,"10/18/23, 1:44 AM",2
Yalkun,"10/17/23, 11:00 PM",2.3
Yalkun,"10/17/23, 9:45 PM",1.7
Yalkun,"10/17/23, 6:45 PM",2.3
Yalkun,"10/17/23, 6:05 PM",1.7
Yalkun,"10/17/23, 2:00 PM",1
Yalkun,"10/17/23, 1:00 PM",1.5
Yalkun,"10/17/23, 11:30 AM",3
Yalkun,"10/17/23, 9:00 AM",2
Yalkun,"10/17/23, 6:50 AM",0.7
Yalkun,"10/17/23, 5:35 AM",1.4
Yalkun,"10/17/23, 3:55 AM",2.5
Yalkun,"10/17/23, 1:50 AM",2.8
Yalkun,"10/16/23, 10:10 PM",0.7
Yalkun,"10/16/23, 7:45 PM",2
Yalkun,"10/16/23, 6:30 PM",1
Yalkun,"10/16/23, 5:50 PM",2
Yalkun,"10/16/23, 3:30 PM",2
Yalkun,"10/16/23, 2:30 PM",1
Yalkun,"10/16/23, 1:30 PM",1
Yalkun,"10/16/23, 12:30 PM",3
Yalkun,"10/16/23, 9:30 AM",3
Yalkun,"10/16/23, 7:40 AM",0.6
Yalkun,"10/16/23, 5:52 AM",2
Yalkun,"10/16/23, 4:02 AM",1
Yalkun,"10/16/23, 3:04 AM",1.8
Yalkun,"10/15/23, 11:03 PM",1.1
Yalkun,"10/15/23, 10:25 PM",1
Yalkun,"10/15/23, 8:40 PM",1.8
Yalkun,"10/15/23, 6:30 PM",1.1
Yalkun,"10/15/23, 5:28 PM",4.2
Yalkun,"10/15/23, 3:45 PM",0.5
Yalkun,"10/15/23, 2:25 PM",1.2
Yalkun,"10/15/23, 1:30 PM",1.3
Yalkun,"10/15/23, 1:10 PM",1.5
Yalkun,"10/15/23, 9:35 AM",2
Yalkun,"10/15/23, 8:50 AM",0.6
Yalkun,"10/15/23, 7:45 AM",0.8
Yalkun,"10/15/23, 4:10 AM",2
Yalkun,"10/15/23, 2:10 AM",2
Yalkun,"10/14/23, 8:30 PM",1.6
Yalkun,"10/14/23, 6:15 PM",3
Yalkun,"10/14/23, 5:30 PM",1
Yalkun,"10/14/23, 3:30 PM",0.7
Yalkun,"10/14/23, 2:20 PM",3
Yalkun,"10/14/23, 12:35 PM",0.6
Yalkun,"10/14/23, 11:17 AM",1.6
Yalkun,"10/14/23, 11:15 AM",2.6
Yalkun,"10/14/23, 9:45 AM",1.8
Yalkun,"10/14/23, 7:15 AM",1.7
Yalkun,"10/14/23, 4:20 AM",2.3
Yalkun,"10/14/23, 2:20 AM",2.7
